PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 26, 2000, Thursday",1 of 126 DOCUMENTS,USA TODAY,"Global warming is accelerating, scientists report",Traci Watson,NEWS; Pg. 1A,,377 words,,,"October 26, 2000",ENGLISH,,,,,,,"Copyright 2000 Gannett Company, Inc."
,report,warming,degree,scientist,1995,Earth,global,temperature,estimate,cause,human,gas,climate,2100,average,much,panel,substantially,higher,predict,edition,likely,warm,believe,use,atmosphere,change,new,nation,sulfur,spokesman,United_Nations,raise,1990,accord,hundred,maximum,rise,renew,debate,address,go,ty,planet,produce,activity,contribute,far,define,chance,indeed,stronger,statement,five,ago,evidence,suggest,discernible,influence,past,100,many,part,buildup,greenhouse,emit,factory,linger,trap,heat,however,minority,proof,20th,century,anything,natural,argue,computer,model,reliable,draft,summary,prepare,intergovernmental,circulate,review,week,2.5,10.4,compare,1.8,6.3,partly,assume,develop,cut,emission,air
,8,6,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 25, 2000, Friday",2 of 126 DOCUMENTS,USA TODAY,An ice-free North Pole adds to case for warming,,NEWS; Pg. 15A,,544 words,,,"August 25, 2000",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: National Oceanic and Atmospheric Administration (Line graph)",DEBATE,,,"Copyright 2000 Gannett Company, Inc."
,ice,warming,world,global,increase,change,water,passage,across,use,may,open,problem,area,past,top,degree,fuel,greenhouse,gas,atmosphere,reduce,emission,project,level,weather,warmer,forest,cause,along,new,control,North_Pole,Arctic,Canada,U.S.,around,rime,ancient,mariner,1798,significantly,earlier,icebreaker,arrive,find,likely,time,eon,pole,direct,proof,nonetheless,stark,reminder,need,act,increasingly,press,sign,big,melt,abound,surface,cap,shrunk,decade,thickness,drop,almost,half,dramatic,revive,dream,northwest,northeast,whether,single,event,evidence,usually,dispute,broad,scientific,consensus,unnaturally,fast,100,thanks,largely,hand,man,fossil,produce,huge,quantity,sit,reflect,heat
,6,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 13, 2000, Tuesday",3 of 126 DOCUMENTS,USA TODAY,Forecast for 2100: Hotter,,NEWS; Pg. 4A,,395 words,,,"June 13, 2000",ENGLISH,,,"GRAPHIC, b/w, Marcy E. Mullins, USA TODAY, Source:The U.S. Global Change Research Program(Map)",,,,"Copyright 2000 Gannett Company, Inc."
,degree,model,2100,Hadley,Canadian,roughly,winter,summer,warming,scientist,rise,much,water,2090,heat,likely,probably,warm,expect,century,report,global,region,research,climate,8.3,index,july,USA,past,100,planet,temperature,mainstream,agree,cause,part,human,activity,burn,fossil,fuel,add,carbon,dioxide,gas,atmosphere,federal,release,monday,predict,take,hold,next,people,live,gin,use,different,weather,calculate,effect,various,rely,computer,researcher,examine,record,emphasize,though,improve,still,tentative,area,wetter,drier,raising,risk,shortage,8.5,7.3,10.6,plain,combination,humidity,midwest,lead,lower,level,stream,northeast,heavy,snowfall,extreme,cold,become,less,common,shrink
,19,16,10,7,7,6,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 8, 2000, Friday",10 of 126 DOCUMENTS,USA TODAY,Data support chilling evidence of warming,Traci Watson,NEWS; Pg. 3A,,527 words,,,"September 08, 2000",ENGLISH,,,,,,,"Copyright 2000 Gannett Company, Inc."
,lake,river,ice,data,study,new,human,scientist,warming,activity,global,record,collect,today,rise,change,people,climate,site,across,freezing,later,thaw,earlier,provide,result,alone,planet,temperature,cause,measure,include,span,think,heat,example,date,important,Japan,Wisconsin,University,Magnuson,publish,evidence,prove,let,generally,consistent,research,contribution,author,appear,journal,science,rely,1846,1995,place,range,froze,5.8,break,6.5,translate,air,degree,per,100,pattern,lead,strength,paper,pull,together,occur,scale,heating,behind,trend,cite,burn,fossil,fuel,create,gas,trap,atmosphere,however,explain,increase,near,researcher,deforestation,wilderness,area,unlikely,many,have,show
