PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 16, 2001, Monday",1 of 163 DOCUMENTS,USA TODAY,"6 ways to combat global warming Debate moves past whether it's happening to what, if anything, should be done about it",Traci Watson and Jonathan Weisman,NEWS; Pg. 1A,,2773 words,,,"July 16, 2001",ENGLISH,,,"GRAPHIC, Color, Bob Laird, USA TODAY; GRAPHIC, B/W, Quin Tian, USA TODAY, Source: Office of Science and Technology Policy, 1997: Congressional Budget Office; United Nations Environment Program; World Meteorological Organization; GRAPHIC, B/W, Quin Tian, USA TODAY, Source: Congressional Budget Office (1998 data) (BAR GRAPH and PIE CHART); GRAPHICS, B/W (GRAPHIC, 6)",COVER STORY,,,"Copyright 2001 Gannett Company, Inc."
,nation,gas,emission,greenhouse,global,world,warming,treaty,cost,economic,country,permit,carbon,dioxide,company,Bush,Kyoto,U.S.,rise,problem,atmosphere,develop,energy,billion,climate,change,make,include,reduce,target,output,scientist,Earth,issue,research,way,new,emit,source,cut,base,price,idea,government,ton,cent,ocean,do,warm,heat,might,president,live,pollution,solution,produce,decline,2010,study,group,average,take,economist,cap,within,plant,suggest,gasoline,Kyoto_Protocol,nearly,whether,sen,effort,part,buildup,much,critic,turn,expert,think,trading,industrial,program,enough,deal,1990,level,vary,technology,supporter,fund,estimate,use,lead,industry,household,must,people,kyoto
,20,20,20,19,16,15,13,13,13,12,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"July 18, 2001, Wednesday",7 of 163 DOCUMENTS,USA TODAY,Seas create real water hazard Changing climate at root of erosion that's putting links courses in jeopardy,Ellen Hale,SPORTS; Pg. 3C,,1245 words,"ST. ANDREWS, Scotland",,"July 18, 2001",ENGLISH,,,"PHOTOS, b/w, St. Andrews Link Trust(2); Tricky shot: Golfers tee off over workers trying to save the eighth hole on the Jubilee Course at St. Andrews. In one day last year, 10 feet of land washed into the water. Ultimate sand trap: Stone-filled wire structures, or gabions, are installed along the dunes.",,,,"Copyright 2001 Gannett Company, Inc."
,course,link,golf,hole,St._Andrews,tee,play,last,Britain,yard,dune,club,lose,British_Open,look,away,sea,many,move,foot,land,help,storm,wash,coast,leave,tide,climate,change,wind,world,seaside,time,erosion,something,sand,home,new,global,warming,make,relocation,Scotland,England,eighth,wire,edge,ocean,consider,clubhouse,beach,oldest,whether,result,natural,rise,level,increase,threaten,work,mesh,winter,weather,high,along,manager,set,row,single,water,coastline,next,dozen,country,fence,drainage,buy,plan,old,survey,suffer,flooding,part,recent,warn,try,open,accord,scientist,defense,secretary,sit,never,Jubilee_Course,Old_Course,University,Royal_West_Norfolk,North_Sea,Royal
,24,18,14,11,8,7,7,7,7,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 20, 2001, Friday",8 of 163 DOCUMENTS,USA TODAY,Hurricane season may hit the East harder Some meteorologists disagree with findings,Dan Vergano,NEWS; Pg. 6A,,628 words,,,"July 20, 2001",ENGLISH,,,"GRAPHIC, B/W, Frank Pompa, USA TODAY, Source: July 20, 2001, Science magazine (BAR GRAPH)",,,,"Copyright 2001 Gannett Company, Inc."
,hurricane,storm,increase,major,activity,number,temperature,ocean,decade,high,surface,wind,period,average,higher,weather,coastal,may,coastline,Atlantic,scientist,researcher,repeat,low,record,pattern,el,ni,ntilde,climatologist,within,warm,East_Coast,North_Atlantic,Science,United_States,NOAA,U.S.,Elsner,hit,heavily,populate,federal,double,past,six,present,level,likely,persist,additional,today,issue,believe,disaster,wait,happen,talk,damage,study,leader,natural,sea,part,roughly,cycle,rather,climate,change,lie,behind,warmer,impart,energy,help,equalize,speed,altitude,necessary,condition,start,1971,1994,cold,1.5,define,category,110,mph,risen,3.8,historical,show,similar,alternate,every,factor,include,affect
,15,9,8,7,7,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 3, 2001, Tuesday",9 of 163 DOCUMENTS,USA TODAY,Bush trades global-warming concerns for energy profits,DeWayne Wickham,NEWS; Pg. 13A,,1200 words,,,"April 03, 2001",ENGLISH,,,,,,,"Copyright 2001 Gannett Company, Inc."
,Bush,nation,gas,greenhouse,last,century,world,emission,reduce,administration,give,ally,country,climate,Kyoto_Protocol,diplomacy,isolationism,support,agreement,worldwide,cause,decision,strong,economy,produce,worry,production,era,political,campaign,promise,energy,likely,interest,ahead,people,relation,relationship,instead,change,environmental,policy,American,European,carbon_dioxide,U.S.,United_States,beginning,theodore,roosevelt,send,battleship,cruise,gunboat,awaken,military,might,signale,end,week,w.,bush,another,gop,president,start,rebuild,wall,fortress,announce,withdrawal,international,think,global,warming,smokestack,rescind,back,treaty,among,reduction,require,hurt,sound,excuse,reason,unemployment,paltry,4.2,february,1.8,million,job,create,indicate,remain,core,opposition,understandably
,16,9,7,6,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
