PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 31, 2002, Thursday",5 of 141 DOCUMENTS,USA TODAY,Oscillating rhythm's got weather on the go,Jack Williams,LIFE; Pg. 9D,,469 words,,,"January 31, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,air,pattern,change,stream,week,east,affect,phase,weather,winter,wave,thunderstorm,high,path,jet,pressure,Higgins,forecaster,next,warming,cold,forecast,much,season,particular,call,oscillation,early,huge,stretch,around,slowly,shower,rain,january,low,Weather_Service,Pacific,USA,look,far,time,western,usa,shove,aside,record,warmth,base,grow,ability,predict,understand,faraway,principal,climate,scientist,prediction,center,md,flip,back,december,bring,real,taste,among,thing,make,clearer,warmer,soon,olympic,start,feb,higgin,confident,shift,computer,model,really,situation,do,well,include,transition,sudden,slow,cool,global,closely,watch,detect,1970,atmospheric,least,halfway,globe,side
,9,7,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 19, 2002, Tuesday",6 of 141 DOCUMENTS,USA TODAY,States fill leadership vacuum,,NEWS; Pg. 20A,,491 words,,,"November 19, 2002",ENGLISH,,,,DEBATE,,,"Copyright 2002 Gannett Company, Inc."
,state,industry,power,Washington,global,warming,action,initiative,example,order,plant,change,emission,Texas,oil,gas,wind,source,combat,effort,cause,carbon,curb,coal,auto,evidence,1990,block,federal,business,back,climate,good,Bush,California,carbon_dioxide,greenhouse_gas,politics,long,captive,push,development,solar,renewable,largely,attribute,fossil,fuel,result,production,alone,jump,sixfold,three,launch,president,governor,among,increase,number,tackle,problem,absence,represent,sensible,measure,economic,harm,impose,harsh,penalty,concern,administration,raise,justify,nothing,demand,sharp,reduction,dioxide,greenhouse,emit,vehicle,older,harmful,pollutant,nebraska,farmer,practice,crop,soil,retain,way,reduce,help,trap,heat,atmosphere,pollute
,8,6,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 22, 2002, Monday",9 of 141 DOCUMENTS,USA TODAY,Carmakers balk at Calif. bill to cut global warming,James R. Healey,MONEY; Pg. 6B,,536 words,,,"July 22, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,fuel,economy,co,California,law,auto,industry,regulate,federal,greenhouse,standard,environmentalist,reduce,legally,another,environmental,much,car,truck,enforcement,argument,already,part,amount,gas,way,emission,less,vehicle,use,engines,tire,typically,cvt,make,tune,consumer,need,fuel_economy,overhead_camshaft,push_rod,CVTs,plan,sign,bill,today,global,warming,camouflage,attempt,something,government,governor,signature,ignite,yet,furious,battle,lobby,improve,without,boost,price,high,buyer,expect,sue,stop,cite,automaker,temporarily,halt,full,mandate,convincing,judge,regulation,new,direct,rule,end,2005,achieve,maximum,feasible,reduction,beginning,2009,main,carbon,dioxide,burn,contribute,minority,atmosphere,significant,around,world,factory
,8,6,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2002, Wednesday",25 of 141 DOCUMENTS,USA TODAY,How did business get so darn dirty?,Gary Strauss,MONEY; Pg. 1B,,1975 words,,,"June 17, 2002",ENGLISH,"June 14, 2002, Friday",The fine that former Drexel Burnham junk bond king Michael Milken paid to settle his 1990 fraud case was incorrectly reported Wednesday. Milken paid $200 million.,"GRAPHIC, Color, Quin Tian, USA TODAY (PHOTO ILLUSTRATION); PHOTO, Color, PhotoDisc; PHOTO, B/W, 1987 AP file photo; PHOTO, B/W, 1990 USA TODAY photo; PHOTO, B/W, 1998 AP photo; PHOTOS, B/W, Reuters (2)",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,million,corporate,business,pay,stock,fraud,company,settle,investor,accounting,Wall_Street,firm,executive,lawsuit,SEC,profit,greed,market,take,management,trust,internet,charge,Enron,whether,continue,among,reform,change,rule,former,people,almost,ceo,three,tax,world,security,practice,law,make,trading,fine,shareholder,share,enron,sell,independent,highflier,reputation,billion,100,last,week,director,recommendation,public,time,ad,prison,Merrill_Lynch,New_York,CEO,analyst,always,scandal,new,investment,scam,ethical,conflict,interest,thing,despite,call,do,number,bank,hide,nearly,convict,cash,resign,giant,bankruptcy,protection,compensation,force,indictment,evasion,today,chief,head,litigation,crime,governance,expert,cite,boil
,17,14,12,12,11,11,11,11,9,8,7,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
