PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 30, 2003, Thursday",1 of 119 DOCUMENTS,USA TODAY,Chilling conclusion: Arctic is indeed warmer,Jack Williams,LIFE; Pg. 10D,,817 words,,,"October 30, 2003",ENGLISH,,,"GRAPHIC, B/W, Marcy E. Mullins, USA TODAY, Source: NASA (DIAGRAM)",SCIENCE,,,"Copyright 2003 Gannett Company, Inc."
,Arctic,change,scientist,ice,temperature,part,warming,air,people,live,study,satellite,warm,native,pattern,ocean,global,water,feedback,Earth,spring,sea,current,region,increase,oscillation,sunlight,expose,play,University,Morison,around,clear,warmer,happen,earlier,fall,later,research,last,use,past,much,degree,though,report,cover,end,summer,instrument,hunter,hunt,whale,tuesday,flow,cold,thing,related,burn,fuel,climate,other,shift,wind,call,explain,still,tend,bring,understand,might,together,learn,time,NASA,Alaska,Seattle,sign,top,exactly,mean,rest,world,measurement,area,show,arrive,landing,accord,present,week,talk,data,read,entire,scatter,thermometers,do,annual
,16,12,10,9,7,7,6,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 19, 2003, Wednesday",4 of 119 DOCUMENTS,USA TODAY,Global-warming debate heats up all the way to Capitol Hill,Dan Vergano,LIFE; Pg. 11D,,623 words,,,"November 19, 2003",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Stephen McIntyre and Ross McKitrick (LINE GRAPH)",SCIENCE,,,"Copyright 2003 Gannett Company, Inc."
,century,report,20th,debate,Nature,critic,global,warming,paper,climate,study,Climate,scientist,call,briefing,tuesday,argument,researcher,concerned,issue,journal,warning,science,panel,research,2001,greenhouse,gas,numerous,temperature,suggest,15th,warmer,rise,degree,make,statistical,skeptic,obscure,o'keefe,global_warming,Bush,U.N.,brouhaha,landmark,hot,crack,long,raising,red,flag,impact,modern,man,subject,highlight,oppose,controversy,side,pollutant,overblown,stall,economic,progress,1998,nature,describe,hottest,echoe,similar,influential,increasingly,politicize,president,reject,multination,plan,craft,combat,cite,cost,capping,emission,produce,burn,fossil,fuel,coal,petroleum,publish,last,environment,social,know,critical,businessman,economist,mckitrick,university
,10,5,5,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 31, 2003, Friday",5 of 119 DOCUMENTS,USA TODAY,Study: Warming worsened drought,Patrick O'Driscoll,NEWS; Pg. 1A,,465 words,,,"January 31, 2003",ENGLISH,,,,,,,"Copyright 2003 Gannett Company, Inc."
,warming,study,dring,global,climate,severe,many,pacific,make,science,increase,number,report,weather,next,unveil,administration,industry,cause,phenomenon,effect,ocean,grow,la,nina,eastern,rainfall,part,drier,Global,USA,Hoerling,probably,recent,worse,otherwise,author,publish,today,journal,risk,future,drought,latest,link,problem,monsoon,melting,polar,ice,gradual,heating,atmosphere,burn,fossil,fuel,federal,scientist,write,due,week,budget,plan,research,thursday,expect,list,voluntary,pledge,cut,emission,gas,president,call,drop,pollution,2012,alternative,stricter,limit,international,treaty,reject,2001,although,accept,provoke,controversy,among,government,planet,compare,southern,southwest,asia,1998,2002,unprecedented,seawater
,9,7,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 17, 2003, Monday",10 of 119 DOCUMENTS,USA TODAY,"Pay the same, get less as package volume falls",Theresa Howard,MONEY; Pg. 3B,,1672 words,"HOBOKEN, N.J.",,"March 17, 2003",ENGLISH,,,"GRAPHICS, B/W, Sources: IRI, USA TODAY research (CHART) (5); PHOTOS, B/W (6)",,,,"Copyright 2003 Gannett Company, Inc."
,price,package,consumer,change,supermarket,unit,cut,size,brand,ounce,company,cost,rival,quart,increase,store,cent,per,Dannon,product,shopper,marketer,market,count,sell,spokeswoman,new,Hoboken,Unilever,retail,without,manage,share,diaper,follow,go,rise,coffee,bag,weight,make,lower,risk,run,reduction,away,margin,ad,spokesman,general,lead,category,clean,maintain,recently,raise,charge,ingredient,retailer,jug,liquid,result,laundry,starbuck,half_gallon,weight_out,Kimberly_Clark,Wisk,Cheer,Starbucks,shopping,trip,leave,equal,amount,tactic,know,play,economic,spend,difficult,create,cheaper,shelf,game,feel,match,portion,reach,shave,small,survey,choice,prefer,vs.,pound,accompany,manufacturer,try
,40,25,15,14,11,11,11,11,10,10,10,8,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
