PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 8, 2004, Thursday",2 of 132 DOCUMENTS,USA TODAY,Cost of global warming: 1 million species,Robert Davis,LIFE; Pg. 5D,,432 words,,,"January 08, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,species,climate,change,study,plant,animal,extinction,million,must,move,Earth,region,world,2050,global,warming,international,report,analysis,predict,include,threat,conservation,life,future,degree,extinct,Hannah,University,several,risk,control,today,journal,nature,comprehensive,date,potential,loss,team,scientist,disappear,tree,lizard,know,forest,dragon,magpie,make,clear,significant,new,century,biologist,organization,have,start,think,editorial,agree,problem,part,air,pollution,cause,warm,mean,higher,cooler,ground,time,natural,migratory,path,often,block,development,trap,environment,longer,support,ask,place,researcher,examine,"1,103",six,use,widely,accept,model,temperature,increase,2.5,10.4,fahrenheit,2100,find,nearly
,11,6,6,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 26, 2004, Wednesday",7 of 132 DOCUMENTS,USA TODAY,'The Day After Tomorrow' heats up a political debate,Scott Bowles,NEWS; Pg. 1A,,1515 words,,,"May 26, 2004",ENGLISH,,,"PHOTO, Color, Industrial Light & Magic, 20th Century Fox; PHOTO, B/W, 20th Century Fox; Catastrophe in a New York minute: In The Day After Tomorrow, there's hell to pay for the people of Earth after years of global warming finally catch up with us. The consequences are very, very bad.<>Bad day for driving in Manhattan: Ocean waves engulf the city after decades of global warming come to a boil -- all in a matter of days.",COVER STORY,,,"Copyright 2004 Gannett Company, Inc."
,movie,film,weather,global,make,warming,people,ice,climate,science,issue,Tomorrow,disaster,message,age,president,think,Hollywood,Emmerich,planet,try,summer,political,effect,million,administration,hit,force,go,rain,tell,scientist,bring,new,theory,vice,discuss,take,channel,way,least,work,fiction,concerned,Weather,150,enough,theater,time,giant,threaten,mix,warn,debate,climatologist,watch,town,hall,meeting,group,thousand,hand,change,moviegoer,order,jab,hold,seem,producer,junky,good,include,storm,extreme,connect,sound,star,whether,look,enjoy,paleoclimatologist,within,fresh,water,ocean,license,many,thing,play,though,less,give,environmental,talk,scientific,record,agenda,Earth,Washington
,19,13,12,8,8,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 25, 2004, Tuesday",8 of 132 DOCUMENTS,USA TODAY,'Day After Tomorrow': A lot of hot air,Patrick J. Michaels,NEWS; Pg. 21A,,1008 words,,,"May 25, 2004",ENGLISH,,,"GRAPHIC, B/W, Alejandro Gonzalez, USA TODAY (ILLUSTRATION)",,,,"Copyright 2004 Gannett Company, Inc."
,warming,movie,global,scientist,know,site,hurricane,have,web,tornadoe,number,science,climate,change,make,issue,much,think,go,radar,storm,dring,Tomorrow,lie,use,influence,flick,film,propaganda,policy,take,raise,consciousness,plot,cause,gulf,stream,current,stratosphere,place,troposphere,temperature,hailstone,stop,start,anyone,depict,wind,system,can,book,upcoming,worse,nothing,distortion,may,2003,determine,new,doppler,decade,study,measure,strengthen,el,nino,way,fail,vote,remember,release,global_warming,Earth,Western,Three_Mile_Island,bristle,dress,political,discourse,latest,example,disaster,design,shift,nation,least,producer,comment,part,reason,environment,spokesman,real,power,nuff,oh,shut,normally,bring
,8,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 9, 2004, Monday",11 of 132 DOCUMENTS,USA TODAY,Bush committed to progress,Mike Leavitt,NEWS; Pg. 16A,,432 words,,,"February 09, 2004",ENGLISH,,,,DEBATE,,,"Copyright 2004 Gannett Company, Inc."
,water,cut,pollution,president,air,protect,policy,improve,provide,program,public,cleaner,power,technology,local,progress,quality,fuel,energy,Bush,Cleaner,today,environment,conserve,health,land,sustain,approach,environmental,clean,incentive,renewable,address,climate,change,initiative,billion,conservation,restore,help,community,market_based,debate,oppose,view,way,economic,competitiveness,capitalize,collaborate,state,government,use,pick,pace,federal,standard,foster,solution,dramatically,require,mandatory,faster,spur,innovation,adop,tough,new,regulation,diesel,engines,put,ingenuity,work,develop,hydrogen,car,drive,child,bear,cell,build,world,plant,propose,dollar,tax,encourage,purchase,hybrid,vehicle,plan,intensity,2012,challenge,expand,wetland,habitat,stream
,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
