PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 29, 2005, Thursday",1 of 147 DOCUMENTS,USA TODAY,Debate churns over global warming,,NEWS; Pg. 12A,,696 words,,,"September 29, 2005",ENGLISH,,,"PHOTO, B/W, NASA",Debate,,,"Copyright 2005 Gannett Company, Inc."
,hurricane,global,warming,climate,change,Katrina,storm,water,nature,today,may,gulf,USA,Rita,activist,make,link,increase,frustration,world,lack,administration,due,compare,blame,natural,deserve,generate,gain,activity,shift,warm,strong,use,fossil,fuel,temperature,policy,fast,force,atmosphere,need,keep,take,sea,taxpayer,new,U.S.,European,United_States,Mexico,THC,New_Orleans,attitude,frustrate,editorial,turn,spin,accuse,official,among,other,exploit,tragedy,score,political,point,advance,agenda,view,cause,debate,monday,premature,individual,event,attribute,true,however,fair,action,attempt,stop,rest,move,ahead,slow,multilateral,agreement,mostly,choice,current,underlying,widespread,awareness,severity,problem,press,unsatisfactory
,8,6,6,6,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 2005 Friday",3 of 147 DOCUMENTS,USA TODAY,"2005 is warmest year on record for Northern Hemisphere, scientists say",Patrick O'Driscoll,NEWS; Pg. 2A,,485 words,,,"December 16, 2005",ENGLISH,,,"GRAPHIC, B/W, Karl Gelles, USA TODAY (BAR GRAPH)",,,NEWSPAPER,"Copyright 2005 Gannett Company, Inc.                               All Rights Reserved"
,average,degree,temperature,record,global,high,climate,normal,2005,warming,natural,world,1998,sea,weather,el,nioo,state,U.S.,Lawrimore,agency,scientist,grow,worse,other,change,second,highest,rank,hottest,ice,major,center,read,fluctuation,warmer,summer,reach,international,report,thursday,indicate,likely,climatic,connect,human,activity,meteorological,organization,58.1,ever,behind,58.2,1997,present,nine,begin,1861,warmest,shrunk,low,amount,glacier,retreate,several,mile,northern,latitudes,chief,monitor,concern,loss,snow,cover,north,reduce,region,ability,deflect,solar,radiation,raise,53.8,20th,roughly,54.9,might,unusual,cold,evidence,heating,atmosphere,aggravate,burn,fossil,fuel,arise,alone,answer
,8,8,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 8, 2005, Friday",4 of 147 DOCUMENTS,USA TODAY,G8 global warming agreement omits specific goals,Judy Keen,NEWS; Pg. 7A,,459 words,"GLENEAGLES, Scotland",,"July 08, 2005",ENGLISH,,,"PHOTO, B/W, Julia Fassbender, AFP/Getty Images",,,,"Copyright 2005 Gannett Company, Inc."
,agreement,climate,change,leader,include,president,group,emission,issue,make,Bush,call,find,greenhouse,gas,goal,prime,minister,limit,contribute,warming,go,treaty,environmental,technology,country,increase,energy,statement,view,ratify,security,United_States,National_Environmental_Trust,release,today,close,summit,world,way,achieve,substantial,reduction,specific,fall,short,objective,legally,bind,global,oppose,language,key,meeting,major,industrialize,nation,consist,leave,manage,response,terrorist,attack,thursday,negotiate,new,important,least,begin,process,dialogue,advance,text,obtain,serious,challenge,raising,awareness,help,develop,share,cleaner,know,need,use,fossil,fuel,human,activity,large,part,associate,earth,surface,recent,public,endorse,time,implicit
,8,7,6,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 17, 2005, Thursday",5 of 147 DOCUMENTS,USA TODAY,"World warms to Kyoto, but research will save the day",Roy Spencer,NEWS; Pg. 11A,,660 words,,,"February 17, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,country,research,treaty,warming,climate,energy,Kyoto_Protocol,United_States,step,limit,global,economic,kyoto,production,emission,believe,participate,U.S.,Russia,small,man,ratify,growth,develop,right,effect,instead,reduction,target,industrialize,world,take,last,invest,clean,though,solve,problem,majority,many,science,scientific,greenhouse_gas,Earth,Kyoto,giant,leap,backward,mankind,wednesday,official,start,international,aim,greet,2001,refuse,concern,put,unfair,burden,rapidly,pass,democrat,republican,strangely,united,opposition,unusual,agreement,restrain,use,regulatory,fiat,market,force,punish,drive,modern,life,modest,little,future,matter,toward,hurt,economy,week,remind,sit,idly,melt,bind,restriction,protocol,different,path,destination,spend
,9,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 31, 2005, Tuesday",8 of 147 DOCUMENTS,USA TODAY,Wolves teach experts about global warming,Dan Vergano,LIFE; Pg. 7D,,468 words,,,"May 31, 2005",ENGLISH,,,,SCIENCE,,,"Copyright 2005 Gannett Company, Inc."
,wolf,winter,change,study,effect,climate,affect,extreme,weather,region,shorter,snowfall,elk,however,gray,hare,suggest,species,much,degree,expect,result,report,journal,pack,death,carrion,scavenger,less,moose,population,show,may,island,prey,oxen,snowshoe,good,Wilmers,emerge,canary,coal,mine,global,warming,around,world,researcher,look,predator,indicator,environmental,scientist,christopher,wilmer,past,century,average,temperature,climb,worldwide,increase,2100,shorten,animal,entire,environment,example,grow,week,1948,university,pretoria,appear,ease,food,chain,federal,biologist,reintroduce,park,1995,heavy,main,cause,provide,diet,raven,eagle,bear,without,mean,fewer,every,april,threaten,starvation,preying,drop
