PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 1, 2006 Thursday",2 of 181 DOCUMENTS,USA TODAY,Corporate America warms to fight against global warming; Corporations see prospect of fat profits from new products friendly to environment,David J. Lynch,MONEY; Pg. 1B,,2293 words,,,"June 1, 2006",ENGLISH,,,"PHOTO, Color, GE Ecomagination PHOTO, Color, Duont PHOTO, Color, Duke Energy PHOTO, B/W, Justin Sullivan, Getty Images PHOTO, B/W, Ross Taylor, AP",,COVER STORY,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,*,company,change,climate,economy,emission,environmental,investor,financial,insurer,last,DuPont,federal,global,warming,power,billion,policy,energy,business,state,shareholder,resolution,U.S.,government,action,new,institutional,past,impact,sign,call,tax,threaten,president,time,address,carbon,chemical,regulation,costly,accord,thing,cost,fund,disclosure,annual,shape,Anderson,Bush,American,Ceres,climate_change,corporate,leader,gas,industry,council,big,demand,profit,product,turn,world,need,reduce,rise,publicly,electric,largest,industrial,dioxide,pg,plant,area,leadership,make,hurricane,become,insurance,greater,force,require,information,result,issue,economic,trillion,report,pension,executive,many,use,inevitable,greenhouse_gas,GE,raise,chairman,duke
,32,22,17,15,11,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
"May 30, 2006 Tuesday",4 of 181 DOCUMENTS,USA TODAY,"Alaska the 'poster state' for climate concerns; What could global warming mean to you? This week, USA TODAY examines how it may affect our future and what's being done to slow it. Today, a look at how what happens in the 49th state could signal change to the south.",Elizabeth Weise,NEWS; Pg. 1A,,1779 words,,,"May 30, 2006",ENGLISH,,,"PHOTO, Color, Gilles Mingasson, Getty Images PHOTO, B/W, Peter Essick, Aurora/Getty Images PHOTO, B/W PHOTOS, B/W, Steve Elfers, USA TODAY (2)",,COVER STORY,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,winter,Alaska,grow,warming,summer,professor,tree,cold,forest,state,fire,ice,ground,Fairbanks,temperature,higher,keep,part,region,much,problem,juday,climate,change,degree,global,scientist,people,warm,permafrost,freeze,mean,spring,production,make,science,increase,use,berry,variety,storm,University,place,spruce,greenhouse,gas,carbon,dioxide,sun,heat,back,danger,last,soon,long,may,snow,water,area,take,new,air,director,early,plant,still,milk,corn,farmer,grower,cherry,move,plum,pollen,Alaska_Fairbanks,Arctic,Midwest,eye,every,look,landscape,1970,double,season,average,1950,dring,kill,aspen,effect,create,burn,atmosphere,hot,especially,former,president,environmental,week
,10,10,9,9,8,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 31, 2006 Wednesday",6 of 181 DOCUMENTS,USA TODAY,Animals scramble as the climate warms; Shrinking habitats have species on the run or on path to extinction,Patrick O'Driscoll,LIFE; Pg. 7D,,1071 words,,,"May 31, 2006",ENGLISH,,,"GRAPHIC, B/W, Adrienne Lewis, USA TODAY, Source: Conservation International (MAP) PHOTO, B/W, 1999 photo by Greenpeace via AFP PHOTO, B/W, U.S. Fish & Wildlife Service PHOTO, B/W, Robert Puschendorf PHOTO, B/W, U.S. Geological Survey via AP PHOTO, B/W, AP",,,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,species,climate,change,report,temperature,warming,forest,habitat,bird,study,ecosystem,wildlife,list,coral,bear,rise,fish,world,scientist,million,wipe,state,new,waterfowl,food,may,area,predict,threaten,researcher,Arctic,National_Wildlife_Federation,USA,Florida,polar,sea,ice,suggest,nature,grow,warmer,planet,wild,cover,water,global,mammal,amphibians,insect,recent,key,fishing,federal,refuge,put,animal,seek,disease,loss,nest,migration,winter,plant,earlier,u.,shift,major,whether,northern,rain,fund,petition,biodiversity,ground,several,goldfinch,half,duck,lose,add,reef,national,federation,population,butterfly,associate,spruce,fir,stream,Earth,Wildlife_Service,Lara_Hansen,Nature,co_author,Washington,American,alarming,anecdote,drow
,13,8,8,7,7,7,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"December 19, 2006 Tuesday",7 of 181 DOCUMENTS,USA TODAY,Concern grows over pollution from jets; Aviation emissions will take off along with worldwide air travel,Gary Stoller,NEWS; Pg. 1A,,2279 words,,,"December 19, 2006",ENGLISH,,,"GRAPHIC,b/w,Karl Gelles,USA TODAY,Source:USA TODAY research(Illustration) PHOTO, Color, AirTeamImages.com PHOTO, B/W, Robert Hanashiro, USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,emission,warming,aircraft,global,jet,aviation,dioxide,scientist,air,carbon,engines,reduce,effect,airport,emit,FAA,flight,pollutant,growth,plane,standard,contributor,climate,increase,government,group,fuel,new,oxide,gas,passenger,pollution,professor,may,source,nitrogen,design,U.S.,USA,atmosphere,project,plan,another,study,report,NASA,EPA,worldwide,expect,conclude,much,role,though,concern,traffic,environmental,last,scientific,director,uncertainty,technology,vapor,contribute,contrail,environment,number,grow,become,largest,remain,change,believe,less,power,plant,generate,travel,airlines,improve,efficiency,million,accommodate,accord,major,agreement,president,environmentalist,many,stringent,propose,executive,answer,question,university,water,greenhouse,amount,significant,represent
,36,21,17,16,16,15,15,14,13,13,13,12,10,10,10,10,9,9,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"May 31, 2006 Wednesday",8 of 181 DOCUMENTS,USA TODAY,"Worry flows from Arctic ice to tropical waters; Rising temperatures already having effect on Inuit fishermen and Pacific villagers, polar bear populations and coral reefs, Scandinavian forests and island resorts",Paul Wiseman and Cesar G. Soriano,NEWS; Pg. 6A,,1031 words,,,"June 2, 2006",ENGLISH,"June 1, 2006",A story Wednesday on the impact of climate change should have said the total area  that has lost sea ice over the past 30 years is as big as Texas and Arizona combined.,"GRAPHIC, B/W, Adrienne Lewis, USA TODAY, Source: Permanent Service for Mean Sea Level, National Oceanic and Atmospheric Administration and United Nations Environment Program (Line graph, map) PHOTO, B/W, Peter Dejong, AP",,,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,ice,change,sea,global,polar,warming,level,rise,environment,world,Arctic,government,last,water,report,climate,accord,lose,Maldives,island,environmental,adviser,life,glacier,program,*,village,base,call,hunt,snow,community,UNEP,Watt_Cloutier,tsunami,2004,director,five,away,threat,less,foot,melt,make,raise,ago,temperature,100,summer,flood,mountain,eroding,beach,fish,agency,instance,mile,cover,disappear,next,place,bear,inuit,hunter,fishermen,across,protect,fishing,fall,leg,villager,half,new,Indian_Ocean,Europe,European_Environment_Agency,United_Nations,South_Pacific,Greenland,low_lying,Canada,Vanuatu,kong,roll,maldive,dec.,tiny,nation,experience,freak,event,glimpse,future,preview,happen,continue,business,usual,assessment
,13,9,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 2006 Tuesday",15 of 181 DOCUMENTS,USA TODAY,The West takes lead on climate change; States aren't waiting for federal action on 'warming' solutions,Patrick O'Driscoll,NEWS; Pg. 1A,,401 words,,,"February 28, 2006",ENGLISH,,,,,,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
,emission,climate,action,plan,warming,state,change,California,governor,global,effort,may,spell,administration,world,democrat,team,june,cut,mandatory,survey,disappear,limit,pledge,take,long,time,Bush,Kyoto_Protocol,Arizona,half,dozen,impatient,federal,mount,campaign,deal,drive,sign,harmful,effect,occur,record,dry,million,acre,dead,forest,warmer,winter,dwindle,water,catastrophic,wildfire,ignore,best,scientist,name,poll,possible,presidential,candidate,real,local,level,politics,part,debate,five,six,criticize,issue,lone,republican,producer,greenhouse,gas,trap,heat,atmosphere,direct,find,way,2010,reduction,2020,release,early,march,strategy,include,gasoline,surcharge,research,alternative,fuel,report,industry,generate
,7,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 7, 2006 Friday",19 of 181 DOCUMENTS,USA TODAY,Study says global warming helps extend wildfire seasons,Patrick O'Driscoll,NEWS; Pg. 3A,,429 words,,,"July 7, 2006",ENGLISH,,,"PHOTO, B/W, Sammy Dallal, (Boulder, Colo.) Daily Camera, via AP",,,NEWSPAPER,"Copyright 2006 Gannett Company, Inc.                               All Rights Reserved"
