PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 4, 2007 Wednesday",2 of 268 DOCUMENTS,USA TODAY,Is Earth near its 'tipping points'?; Scientists: There may be no return from climate change,Dan Vergano and Patrick O'Driscoll,LIFE; Pg. 1D,,1943 words,,,"April 4, 2007",ENGLISH,,,"GRAPHIC, Color, Web Bryant, USA TODAY (ILLUSTRATION) GRAPHIC, B/W, Source: Intergovernmental Panel on Climate Change (CHART)",,COVER STORY,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,report,warming,climate,rise,increase,scientist,effect,change,ice,water,sea,global,panel,temperature,species,coral,loss,point,gas,risk,melting,research,century,level,intense,tip,adapt,nation,people,flooding,greenhouse,degree,make,last,coastal,disrupt,many,damage,disease,human,suggest,threaten,lead,author,scientific,study,week,mountain,much,region,worse,frequent,heat,wave,world,show,release,warm,average,review,design,scenario,already,schneider,become,try,work,million,worldwide,analysis,summary,higher,*,at,food,ocean,we,significant,glacier,stress,USA,worst_case,Lomborg,involved,friday,whether,plant,slow,might,cheaper,society,back,three,representative,100,include,present,serious,environmental
,19,14,14,12,11,9,9,8,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 3, 2007 Thursday",5 of 268 DOCUMENTS,USA TODAY,Environmentalism vs. skepticism; Should we believe scientists' diagnoses of our planet's health? Cal urges caution and patience in assessing the 'cult-like' enviro-movement. Bob says the time to act is now.,,NEWS; Pg. 21A,,1453 words,,,"May 3, 2007",ENGLISH,,,"GRAPHIC, B/W, Bob Laird, USA TODAY (ILLUSTRATION) PHOTOS, B/W (2)",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,cal,bob,change,environmental,climate,we,today,planet,many,issue,warming,thing,environmentalist,science,Earth,conservative,can,car,good,government,create,people,lifestyle,need,global,increase,agree,terrorist,better,story,impend,ago,let,fact,way,try,world,scientist,end,environment,lead,company,work,industry,big,rest,give,make,nuclear,take,step,man,temperature,oil,security,threat,fuel,energy,prepare,Cal,Bush,find,common,ground,movement,without,doom,become,source,emission,reason,administration,play,include,continue,study,confirm,view,happen,accept,really,fair,shake,destroy,balance,though,holiday,respect,tolerance,current,future,urgency,much,mean,role,hard,life,panic,child
,15,14,8,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 2, 2007 Friday",6 of 268 DOCUMENTS,USA TODAY,"Report says warming 'very likely' caused by people, will last centuries",Patrick O'Driscoll,NEWS; Pg. 6A,,472 words,,,"February 2, 2007",ENGLISH,,,"PHOTO, B/W, Benoit Tessier, Reuters",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,report,global,likely,climate,temperature,human,panel,sea,level,century,rise,project,past,due,news,warming,cause,increase,scientist,activity,today,agency,conclusion,draft,observe,change,natural,quote,continue,gas,find,fossil,fuel,mean,researcher,2001,blame,AP,White_House,result,international,climatologist,obtain,summary,representative,113,nation,meeting,week,base,scientific,study,six,widespread,atmosphere,ocean,together,loss,support,extremely,unlikely,explain,without,external,force,know,alone,greenhouse,concentration,stabilize,final,text,assessment,service,emission,burn,oil,coal,automobile,power,plant,factory,average,1.5,degree,20th,numerous,previous,participate,tell,recent,foresee,worse,heat,wave,drought,powerful,storm,heavier
,9,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 10, 2007 Wednesday",7 of 268 DOCUMENTS,USA TODAY,El Nino gives USA its hottest year in '06; Climate change enters as a factor,Patrick O'Driscoll,NEWS; Pg. 1A,,441 words,,,"January 10, 2007",ENGLISH,,,,,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,record,climate,last,warmest,summer,december,make,2006,center,temperature,heat,ever,factor,warming,change,warmer,snow,wave,help,el,nioo,part,warmth,wildfire,winter,common,still,break,date,report,warm,normal,city,average,degree,national,water,time,high,overnight,highest,low,USA,Plains,West,deadly,balmy,federal,official,announce,tuesday,include,pattern,trend,due,greenhouse,gas,dring,severe,agency,worst,season,9.8,million,acre,burn,deny,occur,reason,monitor,chief,keep,nation,weather,become,much,without,week,latest,snowfall,ski,resort,little,artificial,major,snowstorm,paralyze,denver,socked,read,1.4,usual,side,benefit,residential,energy,demand,heating,13.5
,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 8, 2007 Friday",23 of 268 DOCUMENTS,USA TODAY,"Greenpeace, others pan G-8 global warming deal",David Jackson,NEWS; Pg. 5A,,505 words,,,"June 8, 2007",ENGLISH,,,"PHOTO, B/W, Carl De Souza, AFP/Getty Images",,,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,global,Bush,deal,Merkel,agreement,warming,country,framework,climate_change,group,cut,target,reduction,part,goal,support,plan,end,Blair,excellent,president,2050,fuel,minister,less,meeting,member,climate,develop,2008,talk,international,treaty,security,economic,energy,United_States,China,India,curb,industrialize,hail,author,environmentalist,dispute,real,impact,shepherd,summit,host,thursday,represent,great,progress,result,leader,committed,substantial,emission,cause,burn,gasoline,coal,critic,note,bind,cap,pledge,consider,seriously,midcentury,several,fail,provide,clear,threat,blame,long,favor,voluntary,block,seek,prime,suggest,keep,temperature,increase,degree,celsius,still,praise,statement,step,forward,agree,need,obligatory,tell,reporter
,8,8,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 5, 2007 Monday",25 of 268 DOCUMENTS,USA TODAY,A climate-change cost analysis; Panel to answer the 'So what?' questions on global warming,Dan Vergano,LIFE; Pg. 9D,,511 words,,,"February 6, 2007",ENGLISH,,,"PHOTO, B/W, Ove Hoegh-Guidberg, AFP/Getty Images",,SCIENCE,NEWSPAPER,"Copyright 2007 Gannett Company, Inc.                               All Rights Reserved"
,report,warming,climate,global,release,third,impact,change,panel,three,effort,activity,coral,carbon,*,mountain,human,move,trigger,economist,yohe,separate,scientist,answer,effect,people,study,mitigation,dioxide,take,already,Nature_Conservancy,economic,cost,center,stage,second,installment,spring,expert,stronger,result,express,higher,confidence,term,temperature,increase,gary,conn,author,due,call,creation,work,group,prepare,friday,involved,thousand,government,reviewer,conclude,certainty,humanity,burn,fossil,fuel,cut,forest,april,pick,ball,question,document,assess,socioeconomic,natural,system,show,distribute,across,globe,every,major,sector,assessment,review,combine,conduct,2001,ocean,acidification,kill,sea,life,disappearing,species,failure
,10,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
