PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 18, 2008 Monday",8 of 218 DOCUMENTS,USA TODAY,Communities move beyond debate and prepare for climate change,Judy Keen,NEWS; Pg. 1A,,386 words,,,"February 29, 2008",ENGLISH,"February 20, 2008",Scott Shuford's name was misspelled in a story on climate change Monday. Shuford is writing a guidebook for the National Oceanic and Atmospheric Administration's Climatic Data Center.,,,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,plan,climate,county,*,community,state,rise,task,force,change,way,severe,weather,refuge,coastal,ask,global,adapt,preparedness,king,take,assume,cost,recommend,power,prepare,city,new,airport,California,Miami_Dade,grow,number,concerned,cope,tide,less,snow,area,can,warming,how,though,scarier,heck,incorporate,wash,include,least,five,alaska,work,many,focus,cut,emission,conserve,energy,planner,enough,step,miss,half,picture,write,guidebook,adaptation,markedly,alter,2050,embarking,project,strengthen,levee,335,million,watchdog,group,object,federal,local,government,substantial,taxpayer,problem,office,momentum,ago,keene,n.h,release,november,install,larger,culvert,rain,runoff,bury,line
,10,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 17, 2008 Wednesday",11 of 218 DOCUMENTS,USA TODAY,"Everyone, it seems, wants something from Obama; President-elect faces a crush of demands",Ken Dilanian,NEWS; Pg. 1A,,1988 words,,,"December 17, 2008",ENGLISH,,,"GRAPHIC, Color, Ron Coddington, USA TODAY (Illustration) PHOTO, B/W, Charles Dharapak, AP",,COVER STORY,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,Obama,health,care,president,make,group,tax,campaign,change,climate,economic,policy,cut,energy,early,former,call,administration,government,address,interest,include,package,stimulus,promise,ask,Congress,Clinton,wait,military,org,federal,work,crisis,tell,thing,people,100,legislation,time,agenda,spend,deficit,plan,idea,believe,troops,can,union,billion,face,go,issue,executive,director,fix,economy,elect,national,democrat,advocate,today,another,agree,emission,meeting,seem,sign,leave,Iraq,Pariser,America,Badger,Roosevelt,sen,reform,labor,bill,easier,organize,foreign,urge,new,always,demand,sort,whose,central,domestic,americans,cause,pledge,tackle,extraordinary,find,political,moveon,urgency,create
,32,19,15,14,9,8,8,8,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 28, 2008 Tuesday",12 of 218 DOCUMENTS,USA TODAY,"Warming affecting Walden, Yellowstone; Flowers, animals are rapidly disappearing",Doyle Rice,LIFE; Pg. 9D,,397 words,,,"October 28, 2008",ENGLISH,,,"PHOTO, B/W, AP",,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,species,climate,change,decline,study,cause,record,Yellowstone,Concord,flora,show,past,loss,flower,common,area,temperature,include,lead,author,natural,extinction,sole,report,amphibians,go,data,amphibian,Earth,wyoming,begin,dramatically,affect,fauna,treasure,accord,monday,proceedings,science,warming,atmosphere,decade,many,book,contribute,several,native,animal,thoreau,plant,mass,1854,average,annual,risen,4.3,degree,botanist,keep,region,hardest,hit,respond,well,increase,buttercup,dogwoods,lily,orchid,rose,violet,biologist,article,though,undeveloped,remain,document,lose,exist,low,number,local,may,imminent,research,point,culprit,random,certain,lineage,far,susceptible,rapid,other,davis,note,researcher,result,drought
,8,6,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 21, 2008 Thursday",13 of 218 DOCUMENTS,USA TODAY,More money urged for climate research,Doyle Rice,LIFE; Pg. 14B,,310 words,,,"August 21, 2008",ENGLISH,,,,,A BETTER LIFE,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,climate,weather,billion,scientist,need,change,increase,research,improve,nation,disaster,document,national,event,impact,system,dollar,loss,recommendation,local,level,USA,wednesday,recommend,huge,budget,cite,tool,better,protect,natural,well,expect,effect,propose,plan,outline,send,presidential,campaign,cost,already,allot,fiscal,quarter,gross,product,sensitive,substantially,health,safety,economy,environment,transportation,military,readiness,state,sustain,related,past,three,alone,calamity,drought,2007,2008,california,wildfire,tornadoe,flood,cause,hundred,candidate,talk,importance,think,knowledge,vice,president,group,along,seven,organization,among,fully,fund,satellite,instrument,essential,monitor,carbon,emission,greatly,compute,power,accurate,although,model,good
,8,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 12, 2008 Monday",15 of 218 DOCUMENTS,USA TODAY,McCain to pitch environmental policy in Oregon; Speech to outline 'cap-and-trade' plan,David Jackson,NEWS; Pg. 9A,,618 words,,,"May 12, 2008",ENGLISH,,,"PHOTO, B/W, Tim Dillon, USA TODAY",,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,McCain,global,plan,emission,warming,environmental,Bush,cap_and_trade,cite,change,president,prepare,remark,energy,develop,state,work,company,administration,propose,issue,presidential,senator,climate,difference,support,system,schedule,wind,power,economy,cleaner,nuclear,discuss,environment,among,campaign,voter,statement,credit,give,major,polluter,increase,use,international,group,distance,climate_change,Washington,Oregon,China,India,mccain,head,today,address,integral,bid,region,crucial,often,policy,renew,set,clear,limit,greenhouse,gas,allow,sale,rights,excess,accord,excerpt,speech,release,sunday,speak,facility,ore,fact,demand,urgent,attention,especially,presumptive,gop,candidate,series,goal,reduction,carbon,end,1990,level,2050,dynamic,encourage
,18,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 24, 2008 Monday",23 of 218 DOCUMENTS,USA TODAY,SnoMotes go to ends of the Earth; Unmanned research robots destined to roam ice sheets,Doyle Rice,LIFE; Pg. 7D,,609 words,,,"November 24, 2008",ENGLISH,,,"PHOTO, B/W, Ron Felt, Georgia Tech",,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,robot,Howard,ice,climate,data,scientist,prototype,change,rover,across,snow,unmanned,machine,gather,sheet,work,build,sensor,mass,foot,leg,snowmobile,may,weather,remote,need,though,accurate,professor,team,develop,goal,create,camera,design,shift,human,measurement,many,wheel,become,stuck,snomote,finish,SnoMotes,Antarctic,Georgia_Tech,NASA,SnoMote,Greenland,Antarctica,Lampkin,roar,freeze,wilderness,seem,unusual,zoom,glacier,near,last,june,far,ordinary,call,someday,part,dangerous,traverse,understand,world,melting,result,satellite,provide,much,simply,information,associate,pa.,mar,2004,help,better,model,apply,technology,navigate,extreme,environment,sparse,three,plastic,hobby,toy,adapt,microprocessor,believe,useful
,10,8,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 10, 2008 Thursday",27 of 218 DOCUMENTS,USA TODAY,"This year, 6 types of voters will decide the election; Obama is dominating the most energized segment of the electorate. McCain's backers are less excited -- but they're more reliable in showing up at the polls.",Susan Page,NEWS; Pg. 1A,,2394 words,,,"July 10, 2008",ENGLISH,,,"PHOTO, Color, Prigmore-Onwu by Kinnunen-Harris PHOTO, Color, Seagull by Steve L. Miller PHOTO, Color, Sparklin by Chris Livingston PHOTO, Color, Clemens by Nick S. Adams PHOTO, Color, McLen by Paul S. Howell PHOTO, Color, Heiser by Jeff Swensen PHOTO, B/W, Krystal Kinnunen-Harris for USA TODAY PHOTO, B/W, Steve L. Miller for USA TODAY PHOTO, B/W, Jeff Swensen for USA TODAY PHOTO, B/W, Nick S. Adams for USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,group,voter,McCain,Obama,make,candidate,election,change,electorate,usual,support,voting,campaign,likely,mind,highest,percentage,less,enthusiastic,president,vote,view,think,*,nearly,primary,obama,point,presidential,whether,matter,enthusiasm,issue,difference,excited,people,rating,four,include,give,though,either,war,today,poll,among,national,choice,skeptical,downbeat,older,family,favorable,concern,lowest,average,least,experience,decide,bush,2004,USA,Bush,Iraq,lead,edge,survey,analysis,result,base,level,majority,everything,difficult,contrast,time,senator,tend,mistake,question,take,much,true,believer,call,feel,democrat,former,commander,chief,work,care,closely,college,worry,swing,admire,become,every
,32,26,25,24,13,12,12,11,10,10,10,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"July 18, 2008 Friday",29 of 218 DOCUMENTS,USA TODAY,Obama shifts environmental stance; Had embraced coal industry in Senate run,Ken Dilanian,NEWS; Pg. 4A,,915 words,,,"July 18, 2008",ENGLISH,,,"PHOTO, B/W, 2004 photo by Ceasar Maragni, The Southern Illinoisan, via AP",,,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,coal,Obama,vote,bill,emission,state,industry,campaign,global,carbon,Illinois,warming,support,interest,call,2004,accord,president,energy,billion,technology,environmentalist,U.S.,presidential,1997,record,oppose,senate,*,in,head,liquid,may,1998,treaty,gas,presumptive,nominee,climate,change,senator,whose,public,burn,still,point,run,go,democrat,sponsor,primary,utility,center,invest,clean,include,statement,take,policy,administration,help,2001,build,power,plant,downstate,environmental,choose,less,subsidy,2007,fuel,Kyoto,non_partisan,McCain,Senate,coal_fired,Sierra_Club,urging,pass,condemn,forbid,effort,regulate,greenhouse,aye,democratic,greatest,moral,challenge,generation,propose,cut,2050,usually,seek,legislative,interview,politician
,22,18,9,8,8,7,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 22, 2008 Monday",30 of 218 DOCUMENTS,USA TODAY,Big culprit for allergies?; Evidence increasingly points to global change,Kim Painter,LIFE; Pg. 7D,,579 words,,,"September 22, 2008",ENGLISH,,,"GRAPHIC, B/W, Adrienne Lewis, USA TODAY GRAPHIC, B/W, Adrienne Lewis (bar graph)",,A BETTER LIFE: HEALTH,NEWSPAPER,"Copyright 2008 Gannett Company, Inc.                               All Rights Reserved"
,allergy,*,problem,air,make,change,pollen,sufferer,help,use,mold,mite,environmental,suggest,may,many,people,go,environment,take,dust,pet,different,control,indoor,cleaner,filter,clean,Allergy,evidence,link,climate,allergist,write,weber,immunology,matter,reduce,symptom,thing,trigger,outside,inside,bother,keep,bedroom,product,least,recommend,Asthma,HEPA,respiratory,something,sniffle,sneeze,stuff,wheeze,grow,biggest,global,especially,true,tree,grass,weed,include,ragwee,torment,right,churn,week,temperature,carbon,dioxide,level,rise,denver,paper,publish,journal,think,expect,suffer,professor,colleague,asthma,special,stake,slow,drive,less,appliance,lighting,might,planet,sadly,though,screw,compact
,8,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
