PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 23, 2009 Wednesday",2 of 264 DOCUMENTS,USA TODAY,"Deal on climate change is elusive; Political, economic issues hinder talks to stop warming",Traci Watson,NEWS; Pg. 1A,,1836 words,,,"September 23, 2009",ENGLISH,,,"GRAPHIC, B/W, Sam Ward, USA TODAY, Source: Joint Global Change Research Institute (Line graph) PHOTO, Color, Timothy A. Clary, AFP/Getty Images PHOTO, B/W, Pool photo by Konishi Taro",,COVER STORY,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,climate,emission,nation,treaty,U.S.,cut,make,develop,degree,change,economic,warming,country,Senate,world,scientist,rise,temperature,bill,U.N.,Earth,agreement,talk,carbon,dioxide,greenhouse,gas,accord,billion,China,ago,prime,minister,deal,time,head,power,question,economy,report,global,much,meeting,include,difficult,senator,2020,Copenhagen,end,official,produce,start,diplomat,point,part,negotiation,far,group,expert,industrialize,planet,take,keep,mandatory,former,put,reach,last,oppose,energy,effort,*,money,aid,sept,may,atmosphere,climate_change,Obama,United_States,USA,Kyoto,European_Union,2009,draft,slow,de,challenge,suppose,finalize,repeatedly,tuesday,we,president,go,debate,dramatic,without,worldwide
,24,18,16,13,11,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 9, 2009 Wednesday",4 of 264 DOCUMENTS,USA TODAY,Summit puts focus on tiny Pacific islands; Tuvalu is at risk of flooding from climate change,Brian Winter,NEWS; Pg. 11A,,900 words,,,"December 9, 2009",ENGLISH,,,"GRAPHIC, B/W, USA TODAY (Map) PHOTO, B/W, File photo by Torsten Blackwood, AFP/Getty Images",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,Tuvalu,warming,global,country,problem,climate,nation,cause,change,money,poor,need,island,seas,rise,may,report,Copenhagen,summit,live,people,help,billion,doubt,still,environmental,Mataio,place,delegation,mile,sea,level,real,head,include,effect,official,skeptic,among,whether,overpopulation,fund,end,deal,threaten,aid,worry,world,erosion,research,impact,potential,might,drive,United_Nations,U.N.,Bangladesh,EACH_FOR,Gemenne,take,nobody,bigger,celebrity,tiny,chain,nine,coral,atoll,often,hold,other,example,risk,"12,000",resident,area,square,highest,peak,foot,government,evacuate,within,we,happen,threat,existence,department,environment,tuesday,several,demand,richer,cope,yvo,de,top,industrialize,contribute
,15,14,13,10,7,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 2, 2009 Monday",7 of 264 DOCUMENTS,USA TODAY,Politics heats up global warming; Climate scientists are urged to get in game to aid understanding,Dan Vergano,LIFE; Pg. 4D,,913 words,,,"March 2, 2009",ENGLISH,,,"PHOTO, Color, Ed Andrieski, AP PHOTO, Color, Mark Hertzberg, AP PHOTO, Color, Mel Evans, AP PHOTO, Color, Getty Images",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,climate,energy,emission,power,report,change,gas,cost,call,last,carbon,fuel,increase,industry,Obama,research,release,week,fossil,wind,science,global,warming,economics,scientist,speech,hearing,nuclear,reactor,people,2007,greenhouse,dioxide,coal,benefit,*,solar,cap,renewable,provide,need,council,health,problem,president,economy,save,planet,lobbyist,money,expect,rise,heat,future,meeting,natural,effect,less,clean,plan,permit,group,make,hope,today,source,technology,promise,Greenhouse,Field,Barnes,USA,politics,stuff,social,drive,national,suggest,grow,credible,understandable,useful,information,respond,restructuring,federal,meet,challenge,thursday,transformation,emphasize,influence,food,public,otherwise,lot,evidence,politician,tackle
,11,9,8,8,7,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 3, 2009 Thursday",10 of 264 DOCUMENTS,USA TODAY,"Supporters of climate bill spend more on ads; Backers have spent $8M to push measure, topping $7.4M from opponents",Fredreka Schouten,NEWS; Pg. 4A,,697 words,,,"September 3, 2009",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Campaign Media Analysts Group (Bar graph) PHOTO, B/W, AP PHOTO, B/W, AFP/Getty Images",,,NEWSPAPER,"Copyright 2009 Gannett Company, Inc.                               All Rights Reserved"
,spend,group,ad,million,bill,climate_change,measure,emission,support,legislation,opponent,advertising,plan,president,campaign,environmental,run,state,Washington,environmentalist,data,august,interest,health,care,accord,lawmaker,ahead,oppose,blitz,liberal,lobbying,oil,gas,tv,rep,target,vote,energy,least,another,eric,aim,senator,"400,000",executive,climate,require,leader,job,cost,Senate,greenhouse_gas,House,U.S.,other,outspending,television,skirmish,underway,advance,action,new,show,supporter,curb,2.9,seek,renew,overshadowed,contentious,battle,initiative,track,political,surge,recess,put,proponent,overall,jan,compare,7.4,perception,bunch,unwashed,kid,ty,tree,case,anymore,sophisticated,stand,contrast,pattern,six,federal,compile,center
,11,8,7,6,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
