PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 11, 2010 Thursday",2 of 169 DOCUMENTS,USA TODAY,Could chicken manure help curb climate change?; 'Biochar' is seen as cheap solution,Brian Winter,NEWS; Pg. 1A,,1498 words,,,"February 11, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Frye Poultry Cornell University USA TODAY research (Diagram) PHOTO, Color, Jack Gruber, USA TODAY PHOTO, B/W, Jack Gruber, USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,biochar,Frye,carbon,farm,chicken,scientist,produce,make,soil,much,emission,use,machine,atmosphere,greenhouse,gas,environmental,still,sell,technology,dioxide,help,example,may,environment,recent,include,need,organic,frye,LaSalle,global,manure,keep,advocate,call,change,long,think,best,good,green,turn,warm,take,initiative,impact,recently,company,people,excited,little,heat,result,way,process,low_cost,Lehmann,poultry,waste,large,substance,know,fertilizer,president,new,strategy,climate,worth,admit,"1,000",farmer,away,plan,venture,whether,represent,relatively,put,proposal,give,lead,cause,planet,positive,cap,trade,cut,pollution,have,promise,reduce,fall,widespread,research,source,plant,right,dollar
,17,16,12,9,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 22, 2010 Monday",11 of 169 DOCUMENTS,USA TODAY,Experts claim climate report plagiarized; They cite instances of lifted passages in influential 2006 study,Dan Vergano,NEWS; Pg. 6A,,932 words,,,"November 22, 2010",ENGLISH,,,"PHOTO, B/W, Pietro Terna PHOTO, B/W, Ben Barnhart, UMass-Amherst",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,report,scientist,Wegman,climate,plagiarism,material,find,request,GMU,criticize,expert,today,century,committee,Bradley,Barton,2006,congressional,charge,statistic,call,work,copying,analysis,university,head,response,USA,e_mail,global,research,partly,base,textbook,review,word,appear,basic,use,papers,allegation,investigation,other,scholarship,lead,last,warmest,lot,computer,text,error,accord,publication,comment,nothing,fairly,thing,1998,1999,study,scientific,presentation,information,Wikipedia,Virginia_Tech,University,Garner,Mann,co_author,NRC,influential,raise,question,validity,warming,copy,writings,three,contact,repeat,instance,passage,lift,thinly,disguise,paraphrase,negate,premise,poor,widely,note,produce,kind,undermine,credibility,integrity,conform,rule,statistician
,28,12,11,8,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 20, 2010 Tuesday",16 of 169 DOCUMENTS,USA TODAY,'Eaarth' author: Young people can save world,Wendy Koch,LIFE; Pg. 7D,,355 words,,,"April 21, 2010",ENGLISH,,,"PHOTO, B/W PHOTO, B/W",,A BETTER LIFE,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,planet,McKibben,call,new,world,life,yet,book,global,warming,end,action,know,different,need,may,bring,carbon,level,part,per,million,raise,international,people,mckibben,near,burble,creek,telltale,sign,deep,gash,wood,cause,recent,flood,longtime,environmentalist,author,dozen,warn,greenhouse,effect,1989,largely,philosophical,contrast,make,tough,dire,frightening,talk,melting,drying,acidify,flooding,burn,heretofore,unseen,way,quite,place,name,let,eaarth,slight,chance,still,save,lucky,committed,write,possible,several,decade,dioxide,nearly,390,back,scientist,maximum,safe,350,handful,student,scholar,residence,start,group,350.org,last,awareness,press,political,go,solve
,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 25, 2010 Monday",17 of 169 DOCUMENTS,USA TODAY,"Exelon CEO: Deal with emissions now; Climate issues won't go away, Rowe says",Julie Schmit,MONEY; Pg. 3B,,1189 words,,,"January 26, 2010",ENGLISH,,,"PHOTO, B/W, Brett T. Roseman for USA TODAY",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,Rowe,Exelon,nuclear,plant,carbon,industry,legislation,emission,rowe,create,energy,power,utility,run,million,company,merger,coal,read,business,CEO,Unicom,nation,largest,fleet,gas,give,cut,ago,climate,change,end,look,history,time,money,Obama,profitable,ceo,reduce,include,name,pass,financial,think,far,provide,electricity,back,way,cost,higher,later,part,colleague,tie,office,book,three,son,farm,parent,work,bank,last,serve,well,speak,group,figure,advocacy,issue,2008,green,careful,need,problem,put,expensive,new,capacity,feel,weed,buy,better,billion,bid,home,chicago,Congress,Wisconsin,U.S.,John,Learner,Chicago,Peco_Energy,little,dial,administration
,25,15,10,9,8,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
