PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 7, 2012 Tuesday",2 of 190 DOCUMENTS,USA TODAY,Resources to prevent global warming already exist,,NEWS; Pg. 6A,,411 words,,,"August 7, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,warming,debate,global,fact,pollution,time,must,Clean_Air_Act,editorial,law,greenhouse,gas,reduce,control,term,experience,cause,human,many,think,temperature,hundred,can,intelligent,discussion,science,obama,state,shift,challenge,United_States,thank,highlight,need,move,actually,something,prevent,summer,heat,record,view,wednesday,already,potent,weapon,harmful,air,four,decade,court,repeatedly,upheld,effort,apply,slow,timid,use,carbon,sake,planet,child,future,put,work,director,calif,make,discrepancy,clear,seem,ongoing,never,simpler,realize,drastic,difference,mean,4.5,billion,existence,opinion,refer,activity,tendency,warm,high,winter,due,ignore,deadly,cold,cost,life,straight,subject,settle
,7,6,6,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 15, 2012 Thursday",7 of 190 DOCUMENTS,USA TODAY,Far-away climate patterns fuel warm-up,"Doyle Rice, USA TODAY",NEWS; Pg. 3A,,423 words,,,"March 15, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,pattern,degree,march,forecast,week,oscillation,climate,high,warm,warmth,continue,Madden_Julian,let,help,cause,fuel,nation,record,wednesday,eastern,average,report,weather,earlier,prediction,next,way,scientist,early,around,Chicago,U.S.,Washington,Arctic_Oscillation,Gottschalck,office,worker,enjoy,lunch,outdoors,give,hearty,thank,part,proverbial,butterfly,flapping,wing,hurricane,gulf,hundred,thousand,mile,away,bizarre,heat,location,set,tuesday,include,city,central,temperature,near,hit,afternoon,whopping,d.c.,soar,far,fame,cherry,blossom,capital,reach,peak,bloom,expect,meteorologist,three,global,contribute,head,operation,center,couple,together,usa,name,discover,1970,tropic,disturbance,move,east,equator,period,influence,rainfall
,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 2012 Tuesday",8 of 190 DOCUMENTS,USA TODAY,Study: Forecast of more severe tornadoes is all wind,"Doyle Rice, @USATODAYWeather, USA TODAY",NEWS; Pg. 1A,,453 words,,,"October 23, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,tornadoe,change,study,climate,form,add,damage,Pielke,record,research,drive,number,counter,severe,weather,evidence,increase,decrease,1950,lead,2011,last,trend,tornado,normalize,storm,report,U.S.,United_States,2012,shape,least,active,new,suggest,necessarily,force,killer,twister,accept,publication,journal,assertion,fuel,finding,limited,delve,whether,affect,extreme,heat,wave,flood,drought,absolutely,damaging,author,write,might,actually,accurate,begin,average,"1,300",vast,majority,cause,little,professor,environmental,work,ala,awful,550,americans,die,appear,outlier,part,fluctuate,wildly,find,figure,adjust,inflation,population,paper,comprehensively,historical,economic,loss,okla,pretty,reasonable,sign,incidence,worsen,decade,agree
,14,7,7,6,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2012 Wednesday",9 of 190 DOCUMENTS,USA TODAY,"Obama, Romney spar on climate, energy; Rivals once thought alike","Wendy Koch, @wendykoch, USA TODAY",MONEY; Pg. 4B,,1332 words,,,"October 31, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,gas,Obama,energy,Romney,oil,support,tax,company,emission,change,record,drilling,romney,efficiency,coal,governor,state,fuel,wind,credit,group,obama,renewable,power,president,issue,double,oppose,pipeline,back,include,plant,federal,rule,RGGI,push,make,business,administration,climate,greenhouse,candidate,environmental,campaign,natural,drill,economy,new,car,solar,break,favor,half,approve,seek,vehicle,limiting,regulate,Massachusetts,EPA,Keystone_XL,home,excessive,may,sound,presidential,man,differ,production,independence,light,truck,2025,eliminate,billion,annual,key,producer,expire,dec.,northern,decline,future,director,add,compare,work,have,million,manufacturer,country,know,run,cite,potential,employer,regulation,impact,hard
,14,14,12,12,10,9,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 20, 2012 Tuesday",10 of 190 DOCUMENTS,USA TODAY,World Bank warns global temps to rise,"Wendy Koch, @WendyKoch, USA TODAY",NEWS; Pg. 4A,,301 words,,,"November 20, 2012",ENGLISH,,,,,,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
,report,degree,world,rise,study,climate,2100,bank,planet,temperature,celsius,level,change,course,warm,much,7.2,fahrenheit,prompt,extreme,heat,wave,severe,dring,major,flood,warn,new,region,suffer,tropic,subtropics,among,vulnerable,poorest,people,hit,hardest,accord,release,sunday,time,lose,vice,president,sustainable,development,urging,drastic,action,reduce,greenhouse,gas,emission,organization,promote,growth,develop,country,commission,reach,higher,early,2060,government,meet,promise,fight,average,summer,part,sea,full,meter,inch,skeptic,overly,dire,director,libertarian,center,warming,implausible,outlier,energy,economist,conservative,heritage,foundation,agree,propose,policy,emerge,economy,tell,emaciate,start,diet,may
,6,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 19, 2012 Thursday",11 of 190 DOCUMENTS,USA TODAY,"Why the extreme weather?; Could it be acts of nature? Or are humans and climate change the culprit? Science is not certain, but we're rolling the dice in a very serious game.",Richard Alley,EDIT; Pg. 9A,,804 words,,,"April 19, 2012",ENGLISH,,,"photo By Mike Hutmacher, AP Tornado survivors: Richard Keith helps sister-in-law Mitzi Keith on Monday in Wichita. There were at least 120 reports of Midwest tornadoes this weekend, primarily in Kansas.",,THE FORUM,NEWSPAPER,"Copyright 2012 Gannett Company, Inc.                               All Rights Reserved"
