PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 18, 2013 Wednesday",2 of 205 DOCUMENTS,USA TODAY,Some crops migrate north with warmer temperatures; It's a boon for N.D. farmers as U.S. agriculture goes topsy-turvy,"Elizabeth Weise, @eweise, USA TODAY",NEWS; Pg. 11A,,1454 words,,,"September 18, 2013",ENGLISH,,,"photo Photos by Elizabeth Weise, USA TODAY",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,crop,grow,farmer,climate,change,farm,corn,North_Dakota,field,state,agriculture,plant,degree,think,area,family,wheat,soybean,shift,accord,heat,professor,know,temperature,much,can,U.S.,USDA,ago,back,full,different,go,weather,season,mean,today,warming,last,warmer,winter,beginning,harvest,acre,average,many,use,happen,billion,nation,fahrenheit,water,talk,North_Dakota_State_University,Fargo,brother,visit,100,find,lengthen,frost,pattern,hotter,look,mile,border,still,land,work,end,expect,make,seem,good,net,world,erratic,lower,yield,cold,better,grower,three,five,near,century,thing,long,300,produce,across,2012,1895,nationally,may,local,increase,laboratory,decade
,13,13,13,12,12,9,9,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 25, 2013 Wednesday",4 of 205 DOCUMENTS,USA TODAY,"Climate report puts the heat on humans; Global warming mainly man-made, scientists expected to say","Doyle Rice, @USATODAYWeather, USA TODAY",NEWS; Pg. 2A,,528 words,,,"September 25, 2013",ENGLISH,,,,,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,report,climate,change,warming,global,group,scientist,behind,temperature,ocean,hiatus,science,work,assessment,world,week,likely,certainty,human,rise,surface,review,ice,deep,issue,really,level,1998,el,niño,periodic,weather,study,release,earlier,draft,impact,comprehensive,deal,system,add,aspect,Trenberth,Stockholm,U.S.,IPCC,landmark,top,heighten,planet,andthat,indicator,colo,editor,sign,bear,witness,include,shrink,sea,melting,especially,help,defuse,suppose,average,call,pause,due,part,fact,unusually,warm,natural,water,affect,pattern,much,heat,may,sink,accord,base,expect,conclusion,friday,stockholm,international,assess,related,main,reason,2007,ipcc,put,confidence,fifth,produce,establish
,11,10,9,7,6,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 7, 2013 Wednesday",5 of 205 DOCUMENTS,USA TODAY,This will only get worse; Louisiana is shrinking as climate change softens up the already-vulnerable Gulf Coast,"Dan Vergano, @dvergano, USA TODAY",NEWS; Pg. 1A,,2147 words,,,"August 7, 2013",ENGLISH,,,"GRAPHIC, Color, Karl Gelles, USA TODAY (Map) photo Rogelio V. Solis, AP",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,hurricane,change,storm,wetland,climate,project,water,marsh,plan,Louisiana,beach,gulf,oil,coastal,state,land,place,past,mile,dune,Duvernay,island,fishing,nation,home,every,people,coast,become,volunteer,sink,another,go,start,authority,sand,happen,keim,Grand_Isle,open,barrier,road,camp,life,lose,part,sea,way,last,restoration,enough,might,accord,along,highway,look,grass,tree,time,warmer,saltwater,still,Mississippi,wave,underway,much,stop,bayous,next,rebuild,back,know,decade,stalk,today,rise,mean,worry,louisiana,many,restore,surge,often,kill,across,mud,mangrove,point,cypress,temperature,building,levee,gas,lead,take,2005,warming,fewer,plant
,12,12,12,10,9,9,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"May 1, 2013 Wednesday",12 of 205 DOCUMENTS,USA TODAY,"When rain, rain won't go away; One storm at a time, 'extreme precipitation' is assaulting the unprepared Northeast","Dan Vergano, @dvergano, USA TODAY",NEWS; Pg. 1A,,1543 words,,,"May 1, 2013",ENGLISH,,,"GRAPHIC, Color, Keith Carter, Karl Gelles and Janet Loehrke, USA TODAY (Diagrams) photo File photo by Jim Cole, AP At top, shots from Susan Hammond's video show the Lower Bartonsville Covered Bridge collapsing Aug. 28, 2011. At left, what was left on Aug. 29, 2011.",,,NEWSPAPER,"Copyright 2013 Gannett Company, Inc.                               All Rights Reserved"
,bridge,change,climate,storm,increase,people,Northeast,river,rain,extreme,accord,build,road,flood,air,century,water,Hammond,home,across,flooding,event,last,inch,go,2011,precipitation,past,damage,cause,temperature,Irene,dam,carry,another,happen,expert,new,federal,assessment,report,become,city,town,time,live,gravel,lead,cover,everything,three,blow,region,mean,warmer,average,tree,wash,cullenen,stream,handle,make,walk,dump,emergency,foot,Vermont,never,anywhere,wrong,historic,series,weather,valley,snow,decade,draft,national,rainfall,heavy,system,hill,place,already,along,sight,million,kill,billion,deliver,nationwide,climatologist,suddenly,likely,amid,stretch,degree,greenhouse,gas
,14,12,10,10,9,9,9,8,8,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
