PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 20, 2014 Monday",2 of 231 DOCUMENTS,USA TODAY,"Warming warning: El Nios could get kicked into high gear; More extreme weather possible, new study says","Doyle Rice, USA TODAY",NEWS; Pg. 3A,,537 words,,,"January 22, 2014",ENGLISH,,,"GRAPHIC, Color, USA TODAY (Diagram)",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,el,nio,study,extreme,climate,global,warming,change,event,weather,occur,frequency,new,research,model,find,pattern,double,water,temperature,eastern,equatorial,extend,period,warm,powerful,every,author,past,however,mean,result,increase,solid,scientist,issue,convincing,appear,remain,last,Nature_Climate_Change,Australia,Climate,worst,infamous,shake,around,world,upcoming,decade,due,sunday,journal,central,tend,warmer,average,time,typically,least,three,five,bring,significant,forecast,throughout,rest,century,accord,lead,national,science,agency,100,fuel,drought,wildfire,flood,rainstorm,along,often,recent,end,2010,aggregation,use,report,episode,cause,surface,cai,acknowledge,finding,stand,contrast,previous,consensus,question,challenge
,15,15,8,7,5,5,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 16, 2014 Wednesday",10 of 231 DOCUMENTS,USA TODAY,"To avoid catastrophic warming, what's next?",,NEWS; Pg. 9A,,496 words,,,"April 16, 2014",ENGLISH,,,"GRAPHIC, B/W, Alejandro Gonzalez, USA TODAY (bar graph)",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,change,climate,amount,report,carbon,know,go,real,future,may,massive,clean,energy,catastrophic,global,warming,result,way,dioxide,sequestration,country,major,concern,prediction,little,past,thing,look,big,problem,seem,pollution,people,stop,talk,scientist,happen,greenhouse,gas,emission,question,cause,dangerous,shift,need,combat,accord,release,sunday,believe,forecaster,serious,propose,rationing,fossil,fuel,guarantee,reduce,consumption,program,build,scrubber,device,urban,area,remove,atmosphere,century,teach,we,many,climatic,across,mind,play,gue,game,compare,event,microscopic,virus,potential,wipe,humanity,fixation,witt,forward,please,acknowledge,move,fix,taniamacdonald,exactly,source,pay,part,kind,controls,claim
,11,11,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 19, 2014 Wednesday",16 of 231 DOCUMENTS,USA TODAY,"Obama creates climate tool with Google, Intel, Microsoft; Databases to share stored information","Wendy Koch, @WendyKoch, USA TODAY",MONEY; Pg. 4B,,349 words,,,"March 19, 2014",ENGLISH,,,"photo Marcio Jose Sanchez, AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,data,change,map,community,Google,plan,prepare,climate,use,group,new,create,dring,today,federal,show,sea,level,aim,help,easily,tap,private,director,initiative,tool,White_House,U.S.,climate_change,mainland,part,effort,unveiled,give,several,corporate,participant,database,build,terrain,planet,occur,people,extreme,heat,rise,flooding,drive,direction,administration,expertise,reach,dozen,company,university,well,world,bank,beginning,weblink,climate.data.gov,central,site,government,office,ingenuity,sector,develop,application,add,go,huge,asset,donate,total,800,terabyte,nearly,petabyte,cloud,storage,research,project,seek,customize,free,satellite,area,time,host,three,hackathon,challenge,engineering,computer,science,student,helpful,app
,7,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 24, 2014 Tuesday",17 of 231 DOCUMENTS,USA TODAY,The heat is on: World sees warmest May on record; And El Nino could keep trend going,"Doyle Rice, USA TODAY",MONEY; Pg. 5B,,296 words,,,"June 24, 2014",ENGLISH,,,"photo Rob Schumacher, AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,record,may,warmest,report,climate,temperature,last,center,average,2014,el,NOAA,warmth,ocean,world,across,data,note,warm,degree,far,week,global,spring,niño,chance,develop,Earth,20th_century,accord,release,monday,heat,fuel,unusual,make,surface,majority,experience,monthly,eastern,part,central,northwestern,national,climatic,scatter,section,every,major,basin,combine,entire,globe,59.93,fahrenheit,1.33,nation,32nd,go,back,1880,mark,351st,consecutive,separate,set,find,season,define,march,second,date,fifth,warming,tropical,water,affect,weather,pattern,around,present,yet,however,prediction,estimate,condition,summer,fall,winter,1998,2010,occur,niao,National_Oceanic,Atmospheric_Administration,warmer_than_average,Kazakhstan,Indonesia
,10,9,6,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
