PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 18, 2015 Thursday",3 of 272 DOCUMENTS,USA TODAY,"Climate change debate warms up; Environmental groups ready to capitalize on pope's encyclical, while bishops across U.S. must decide how aggressively they want to push the teachings","Gregg Zoroya, USA TODAY",NEWS; Pg. 8A,,707 words,,,"June 18, 2015",ENGLISH,,,"photo Sean Gallup, Getty Images",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,encyclical,bishop,U.S.,pope,catholics,push,global,warming,Francis,church,climate,across,think,believe,cause,Catholic,sermon,tolling,bell,release,thursday,everyone,open,heart,document,among,number,environmental,group,nearly,include,conference,country,teaching,read,accord,human,activity,uphill,environment,work,send,encourage,event,organizer,man,leadership,focus,Congress,Vatican,Misleh,press,gaggle,rally,fasting,vigil,gentle,nudging,echoing,plan,invite,accept,tell,tourist,gather,outside,wednesday,house,ruin,hurt,especially,poorest,we,core,join,ring,unveiling,enthusiasm,remain,lead,largest,single,million,respond,archbishop,president,offer,reaction,news,morning,handful,other,vast,majority,270,catholic,leave,decide,aggressively
,7,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 2015 Wednesday",14 of 272 DOCUMENTS,USA TODAY,Dissent dwindles on climate change,Kim Hjelmgaard,NEWS; Pg. 2A,,627 words,,,"December 2, 2015",ENGLISH,,,"photo JIm Watson, AFP/Getty Images",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,climate,president,global,balance,warming,scientist,world,change,leader,seem,evidence,exist,clear,Le_Bourget,eye,lot,thing,planet,cause,gas,overwhelming,simply,wrong,talk,take,debate,around,time,denier,still,way,news,make,journalistic,group,science,documentary,Copenhagen,Paris,CFACT,jinp,differ,humankind,need,something,much,virtually,board,idea,fossil,fuel,burn,coal,oil,heating,earth,ever,thus,feeling,deny,man,influence,rise,temperature,part,conversation,whether,negotiate,room,place,dec.,wider,2009,last,congregate,scale,150,monday,record,outside,u.n,assembly,try,forge,plan,limit,greenhouse,emission,hardly,majority,margin,loom,large,proceedings,filter,event,portray,international,media
,7,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2015 Monday",15 of 272 DOCUMENTS,USA TODAY,Reflecting sunlight offers no quick fix for feverish planet,,NEWS; Pg. 7A,,453 words,,,"February 16, 2015",ENGLISH,,,"photo Bullit Marquez, AP file photo",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,particle,atmosphere,injection,climate,emission,carbon,dioxide,plan,panel,effort,reduce,greenhouse,gas,pace,continue,week,scientist,begin,solar,geoengineering,sunlight,cool,go,remove,planet,idea,less,Earth,move,well,glacial,human,activity,spew,ten,billion,ton,air,every,though,cold,snap,eastern,shiver,globe,whole,warm,scary,surprising,economist,politician,discuss,variously,know,radiation,management,albedo,modification,involve,spraying,reflect,surface,cheaper,reduction,volcanic,eruption,philippine,1991,produce,relatively,rapid,result,voila,problem,solve,um,fast,national,academy,report,last,substitute,adapt,change,squirt,sulfate,aerosol,address,root,cause,disruption,counteract,ocean,acidification,effect,elevate,level,century,unless
,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 3, 2015 Monday",20 of 272 DOCUMENTS,USA TODAY,Obama to cut more carbon emissions; Climate change effort will face opposition,"David Jackson, USA TODAY",NEWS; Pg. 5A,,345 words,,,"August 3, 2015",ENGLISH,,,"photo Luke Sharett, Bloomberg",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,Obama,plan,climate,change,emission,administration,announce,cut,carbon,power,plant,rule,video,energy,White_House,new,level,2030,propose,revamp,call,event,contribute,set,pollution,part,push,emphasize,week,ahead,certain,challenge,court,require,reduce,2005,increase,ago,accord,biggest,important,step,have,ever,take,combat,formally,release,monday,faster,transition,renewable,source,obama,sell,series,next,several,address,national,clean,summit,become,president,visit,area,major,topic,meet,september,later,aide,government,official,country,negotiate,detail,global,agreement,republican,unrealistic,slow,business,growth,job,creation,member,industry,sue,lack,legal,authority,impose,cause,hotter,summer,rise,sea,longer
,8,6,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
