PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 3, 2016 Wednesday",4 of 227 DOCUMENTS,USA TODAY,"Clinton, Trump show stark contrast on climate change; Dem's warning of major crisis derided by GOP candidate as radical","Gregg Zoroya, and Doyle Rice, USA TODAY",NEWS; Pg. 5A,,881 words,,,"August 3, 2016",ENGLISH,,,"photo John Minchillo, AP",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,Clinton,warming,platform,energy,Trump,global,candidate,leader,Democratic,American,urgent,voter,million,job,nominee,nothing,call,though,world,director,include,issue,fuel,support,coal,party,seek,government,Sittenfeld,Sierra_Club,presidential,concern,minor,president,campaign,proposal,acceptance,speech,july,science,research,sign,nation,rise,environment,2008,executive,website,solar,home,power,renewable,think,elect,promise,believe,fossil,action,state,republican,kill,reduce,take,federal,source,clean,note,Donald_Trump,GOP,hillary,offer,americans,starkly,different,view,trump,dismiss,problem,never,bigger,contrast,senior,vice,conservation,decried,policy,tuesday,extreme,reckless,agenda,appease,radical,donor,destroy,force,abject,poverty
,11,9,7,6,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 3, 2016 Thursday",8 of 227 DOCUMENTS,USA TODAY,"February singes record as a sizzler, relatively speaking","Doyle Rice, USA TODAY",NEWS; Pg. 3A,,226 words,,,"March 3, 2016",ENGLISH,,,"photo Peter Schneider, European Pressphoto Agency",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,temperature,record,satellite,data,UAH,degree,measure,surface,Earth,last,average,climate,warm,scientist,warming,el,niño,much,area,january,Arctic,soar,high,whopping,1.5,weather,huge,amount,science,often,break,hundredth,tenth,level,make,february,unusually,ever,blame,warmth,combination,global,pattern,might,extraordinarily,cause,run,experience,warmer,team,calculate,atmosphere,mile,take,reading,include,remote,desert,ocean,rainforest,reliable,otherwise,available,accord,monthly,release,warmest,begin,1880,University,Alabama_Huntsville,man_made,near_record,John_Christy,Earth_System_Science_Center,mid_month,National_Oceanic,Atmospheric_Administration,NASA,NOAA
,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 2016 Friday",9 of 227 DOCUMENTS,USA TODAY,"3 debates, and barely a mention of climate change",,NEWS; Pg. 7A,,500 words,,,"October 21, 2016",ENGLISH,,,,,OPINION,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,global,issue,warming,human,debate,problem,individual,emission,heat,economic,disruption,yet,discussion,lack,presidential,attention,candidate,public,effect,powerful,nation,take,progress,last,agreement,depend,leader,room,Paris,Republican,aside,possibility,mankind,blow,important,future,planet,rise,sea,level,devastating,flooding,wave,drought,already,cause,misery,oddly,seemingly,endless,campaign,three,topic,mention,fleetingly,second,red,sweater,wear,town,hall,audience,member,attract,far,response,question,energy,policy,disappointing,surprising,lend,brief,sound,bite,political,system,particularly,unsuited,deal,kind,thing,crisis,unfold,largely,invisibly,decade,extreme,weather,event,week,record,excessive,rainfall,carolinas,conclusively,link
,8,6,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 15, 2016 Tuesday",10 of 227 DOCUMENTS,USA TODAY,Come hell or high water; Climate change deniers risk both the planet and their place in history,Steve Olson,NEWS; Pg. 7A,,751 words,,,"March 15, 2016",ENGLISH,,,"photo Lee Celano, The (Shreveport, La.) Times, via AP",,,NEWSPAPER,"Copyright 2016 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,people,today,already,scientist,zone,leader,world,slavery,good,lead,1980,law,action,st,helen,mountain,eruption,volcano,die,Mount,Ray,troubling,business,future,generation,many,politician,colonialism,warning,three,release,atmosphere,much,physics,bet,become,planet,inevitably,think,warming,support,begin,ask,condemned,governor,establish,danger,right,erupt,tarnish,legacy,lucky,time,consequence,science,book,moral,apply,Earth,Washington,campaign,remove,name,19th,century,racist,colonialist,building,monument,raise,question,political,history,judge,consign,severely,damage,sen,describe,positive,1837,abolitionist,document,way,anything,businessman,write,1877,duty,seize,every,opportunity,acquire,territory,attack,immoral,counterproductive
,7,6,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
