PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 31, 2017 Thursday",2 of 252 DOCUMENTS,USA TODAY,Did climate change intensify Harvey?,,NEWS; Pg. 7A,,426 words,,,"August 31, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,rainfall,storm,Harvey,week,extreme,event,increase,flooding,tropical,greenhouse,gas,question,effort,make,produce,history,warmer,water,nation,serious,cost,afford,Texas,Northeast,floodwater,rage,debate,possible,link,activist,point,historic,epic,exactly,type,forecast,occur,globe,warm,skeptic,cite,long,list,slam,buildup,atmosphere,right,way,premature,unseemly,search,rescue,continue,definitive,answer,scientist,conduct,attribution,study,likelihood,though,conclusion,cause,almost,surely,worse,total,leave,part,look,rival,snowfall,accumulation,blizzards,fact,continental,record,consistent,basic,science,normal,temperature,place,gulf,provide,heat,energy,fuel,formation,rapid,strengthen,air,hold,vapor,turn,rise,sea
,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 30, 2017 Wednesday",3 of 252 DOCUMENTS,USA TODAY,Experts postpone arguing climate change; Meteorologists want to have discussion -- once people are safe,"Doyle Rice, @usatodayweather, USA TODAY",NEWS; Pg. 4A,,480 words,,,"August 30, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,change,event,tropical,increase,Harvey,climate,report,cyclone,meteorologist,extreme,meteorological,storm,hurricane,precipitation,atmosphere,number,potential,link,national,tragedy,appropriate,need,debate,another,discuss,happen,recent,attribution,study,huge,warm,category,intense,water,vapor,warmer,make,warming,situation,Climate,Sobel,unknown,people,dead,miss,displace,write,understandably,touchy,subject,think,time,floodwater,continue,rise,opportunism,reflect,personal,value,tweet,right,inform,reasoned,intellectual,concern,uncomfortable,human,unfold,dust,settle,conversation,academy,good,place,start,remain,polarize,issue,divide,country,whenever,weather,occur,rage,community,whether,refer,release,2016,evidence,typhoon,decade,planet,marginally,significant,frequency,landfall,friday,night
,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 15, 2017 Friday",9 of 252 DOCUMENTS,USA TODAY,Calls to address climate change after disasters,,NEWS; Pg. 8A,,289 words,,,"September 15, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,hurricane,clear,global,death,destruction,insensitive,future,take,disaster,storm,hit,couple,always,solution,area,go,U.S.,letter,column,warming,alarmist,exploit,claim,talk,role,amid,inappropriate,however,nothing,callously,victim,know,moment,lifesave,action,prevent,drive,facebook,tragedy,torrential,rainfall,due,block,high,pressure,system,whether,believe,mean,anything,think,warmer,water,cause,stronger,lastly,pollution,bad,environment,discussion,neglect,offer,realistic,assurance,success,cost,point,scientist,agree,man,affect,need,look,long,hard,funding,instead,politicize,issue,either,beef,infrastructure,prone,live,stop,building,city,build,neighborhood,mountain,pass,wildfire,regularly,occur,much,Myron_Ebell,Hurricanes_Harvey
,8,7,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 14, 2017 Tuesday",13 of 252 DOCUMENTS,USA TODAY,"Pay now to fight global warming, or pay more later",,NEWS; Pg. 6A,,514 words,,,"February 15, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,change,tax,climate,pay,republican,idea,fossil,carbon,global,rise,we,think,energy,editorial,serious,plan,sound,seas,scientific,community,might,warming,people,fuel,ridiculous,work,Climate,letter,commend,today,new,conservative,proposal,cut,greenhouse,gas,emission,put,price,thankfully,analysis,focus,merit,rather,dismissive,cynicism,find,much,political,press,grow,movement,among,shed,blinder,evident,last,formation,bipartisan,course,effort,tackle,across,party,line,begin,gain,traction,special,interest,profit,status,quo,sharpen,knife,frame,information,offer,bad,americans,abound,ignore,critic,monumental,risk,economy,prosperity,depend,refundable,describe,powerful,entry,search,economically,solution,skeptic,convinced,reality,temperature
,7,7,6,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
